country,2018
Afghanistan,58.7
Albania,78
Algeria,77.9
Andorra,
Angola,65.2
Antigua and Barbuda,77.6
Argentina,77
Armenia,76
Australia,82.9
Austria,81.8
Azerbaijan,72.3
Bahamas,74.1
Bahrain,77.2
Bangladesh,73.4
Barbados,76.8
Belarus,73.8
Belgium,81.2
Belize,72.5
Benin,65
Bhutan,74.8
Bolivia,74
Bosnia and Herzegovina,77.9
Botswana,66.9
Brazil,75.7
Brunei,77.4
Bulgaria,75.3
Burkina Faso,61.6
Burundi,61.1
Cambodia,69.3
Cameroon,61.2
Canada,82.2
Cape Verde,74.1
Central African Republic,51.6
Chad,60.5
Chile,80.7
China,76.9
Colombia,78.6
Comoros,68
Congo,62.4
"Congo, Rep.",63.9
Costa Rica,81.4
Cote d'Ivoire,61.2
Croatia,77.7
Cuba,79.3
Cyprus,80.8
Czech Republic,79.4
Denmark,81.1
Djibouti,67.1
Dominica,
Dominican Republic,76.1
Ecuador,78.3
Egypt,72.6
El Salvador,75.8
Equatorial Guinea,66.1
Eritrea,64.6
Estonia,77.7
Ethiopia,66.4
Fiji,65.8
Finland,82.1
France,82.6
Gabon,67.3
Gambia,67.8
Georgia,74.3
Germany,81.3
Ghana,66.6
Greece,81.3
Grenada,71.9
Guatemala,73.2
Guinea,61.9
Guinea-Bissau,59.7
Guyana,68.2
Haiti,64.5
Honduras,73.1
Hungary,75.9
Iceland,82.6
India,69.1
Indonesia,72
Iran,76.5
Iraq,68
Ireland,81.5
Israel,82.4
Italy,82.6
Jamaica,75.2
Japan,84.2
Jordan,76.7
Kazakhstan,72
Kenya,67.3
Kiribati,62.2
Kuwait,80
Kyrgyz Republic,71.5
Lao,67.9
Latvia,75.1
Lebanon,80.5
Lesotho,51.1
Liberia,65.4
Libya,75.5
Lithuania,75.3
Luxembourg,82.4
"Macedonia, FYR",75.2
Madagascar,63.4
Malawi,61
Malaysia,75.9
Maldives,80.1
Mali,62.9
Malta,81.8
Marshall Islands,
Mauritania,70.6
Mauritius,74.9
Mexico,76.8
"Micronesia, Fed. Sts.",65.8
Moldova,72.4
Mongolia,68.7
Montenegro,77.3
Morocco,75.5
Mozambique,61.1
Myanmar,70.3
Namibia,65.7
Nepal,71.5
Netherlands,81.9
New Zealand,81.8
Nicaragua,78.7
Niger,62.5
Nigeria,66.1
North Korea,71.1
Norway,82.4
Oman,78.1
Pakistan,68
Palestine,72.2
Panama,79.4
Papua New Guinea,61.1
Paraguay,74.8
Peru,80.2
Philippines,70.5
Poland,78.2
Portugal,81.3
Qatar,80.7
Romania,75.5
Russia,71.1
Rwanda,68.3
Samoa,72.4
Sao Tome and Principe,70.9
Saudi Arabia,77.6
Senegal,66.8
Serbia,76.2
Seychelles,74.2
Sierra Leone,60
Singapore,84
Slovak Republic,77.2
Slovenia,81.1
Solomon Islands,63.6
Somalia,58
South Africa,63.5
South Korea,81.3
South Sudan,60.7
Spain,83.2
Sri Lanka,77.8
St. Lucia,76.6
St. Vincent and the Grenadines,72
Sudan,68.8
Suriname,71.6
Swaziland,58.6
Sweden,82.4
Switzerland,83.5
Syria,69.8
Tajikistan,72.2
Tanzania,65.5
Thailand,78.2
Timor-Leste,73.3
Togo,63.1
Tonga,70.7
Trinidad and Tobago,73.4
Tunisia,78
Turkey,79.6
Turkmenistan,70.5
Uganda,62.9
Ukraine,72.3
United Arab Emirates,76.9
United Kingdom,81.2
USA,79.1
Uruguay,77.6
Uzbekistan,70.5
Vanuatu,64.3
Venezuela,75.9
Vietnam,74.9
Yemen,67.1
Zambia,59.5
Zimbabwe,60.2
